n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
2;16384;16384;estimate;par;44.5719;2.0965;42.4753;6.36653;14.5018;7.5788;14.0282;0.00947495;1.94665e+10;
2;16384;16384;estimate;par;44.4451;2.04951;42.3955;6.4199;14.4732;7.49185;14.0106;0.00955349;1.94665e+10;
2;16384;16384;estimate;par;44.5957;2.08674;42.5089;6.35615;14.5134;7.59552;14.0438;0.00966851;1.94665e+10;
2;16384;16384;estimate;par;44.5404;2.0848;42.4556;6.35913;14.4908;7.58828;14.0174;0.00950461;1.94665e+10;
2;16384;16384;estimate;par;44.5171;2.08865;42.4284;6.34391;14.479;7.59454;14.0109;0.00953465;1.94665e+10;
2;16384;16384;estimate;par;44.6368;2.11198;42.5247;6.42552;14.5371;7.5275;14.0345;0.00926033;1.94665e+10;
2;16384;16384;estimate;par;44.5213;2.05539;42.4658;6.36164;14.44;7.67043;13.9937;0.00931209;1.94665e+10;
2;16384;16384;estimate;par;44.5541;2.09022;42.4639;6.35928;14.4774;7.61059;14.0166;0.00988611;1.94665e+10;
2;16384;16384;estimate;par;44.2565;2.06316;42.1933;6.37789;14.4641;7.30003;14.0513;0.00931815;1.94665e+10;
2;16384;16384;estimate;par;44.5319;2.11745;42.4144;6.38739;14.4977;7.51665;14.0126;0.00951569;1.94665e+10;
2;16384;16384;estimate;par;44.4582;2.08652;42.3717;6.3659;14.4498;7.49441;14.0615;0.00907315;1.94665e+10;
2;16384;16384;estimate;par;44.5092;2.06808;42.4411;6.31834;14.5197;7.54823;14.0548;0.00962423;1.94665e+10;
2;16384;16384;estimate;par;44.5282;2.09657;42.4316;6.34874;14.4987;7.56302;14.0212;0.00924219;1.94665e+10;
2;16384;16384;estimate;par;44.7683;2.12765;42.6405;6.40359;14.534;7.66562;14.0373;0.00975853;1.94665e+10;
2;16384;16384;estimate;par;44.52;2.10519;42.4147;6.39647;14.5269;7.46989;14.0215;0.00965521;1.94665e+10;
2;16384;16384;estimate;par;44.5266;2.09735;42.4292;6.32883;14.4882;7.58721;14.0249;0.00958533;1.94665e+10;
2;16384;16384;estimate;par;44.4986;2.11165;42.3869;6.3753;14.4705;7.45338;14.0877;0.00955567;1.94665e+10;
2;16384;16384;estimate;par;44.682;2.09789;42.5841;6.41289;14.5579;7.59277;14.0205;0.00933815;1.94665e+10;
2;16384;16384;estimate;par;44.4673;2.09466;42.3726;6.369;14.5175;7.44737;14.0387;0.00934883;1.94665e+10;
2;16384;16384;estimate;par;44.6165;2.09527;42.5211;6.33999;14.486;7.65954;14.0356;0.00964651;1.94665e+10;
2;16384;16384;estimate;par;44.5289;2.05784;42.471;6.3144;14.4589;7.62872;14.069;0.00940859;1.94665e+10;
2;16384;16384;estimate;par;44.4995;2.11683;42.3826;6.3876;14.4636;7.48678;14.0446;0.00965277;1.94665e+10;
2;16384;16384;estimate;par;44.5804;2.06079;42.5195;6.40201;14.4721;7.61645;14.0289;0.00966143;1.94665e+10;
2;16384;16384;estimate;par;44.5727;2.10372;42.4689;6.34349;14.4832;7.58425;14.058;0.00955497;1.94665e+10;
2;16384;16384;estimate;par;44.3305;2.08238;42.248;6.39728;14.5045;7.31029;14.0359;0.00963737;1.94665e+10;
2;16384;16384;estimate;par;44.5675;2.07983;42.4876;6.42576;14.5049;7.53904;14.0179;0.00945999;1.94665e+10;
4;16384;16384;estimate;par;25.0076;2.09696;22.9105;4.21484;7.24461;4.62121;6.82986;0.00967151;1.94665e+10;
4;16384;16384;estimate;par;25.2538;2.13553;23.1182;4.19735;7.25935;4.89575;6.76575;0.00952423;1.94665e+10;
4;16384;16384;estimate;par;24.9719;2.08199;22.8898;4.20429;7.29805;4.78008;6.60741;0.00909303;1.94665e+10;
4;16384;16384;estimate;par;25.0415;2.1311;22.9103;4.2081;7.13886;4.71072;6.8526;0.00986783;1.94665e+10;
4;16384;16384;estimate;par;25.0562;2.13799;22.9181;4.17545;7.13704;4.84882;6.75676;0.00919165;1.94665e+10;
4;16384;16384;estimate;par;25.0351;2.07554;22.9595;4.22695;7.02791;4.98635;6.71826;0.00966623;1.94665e+10;
4;16384;16384;estimate;par;24.7283;2.08304;22.6451;4.17384;7.12648;4.71636;6.62843;0.00930315;1.94665e+10;
4;16384;16384;estimate;par;24.8395;2.0987;22.7407;4.27543;7.00366;4.79131;6.67031;0.0100315;1.94665e+10;
4;16384;16384;estimate;par;25.0238;2.0992;22.9245;4.18646;7.28609;4.81164;6.64036;0.00973865;1.94665e+10;
4;16384;16384;estimate;par;24.6545;2.11719;22.5372;4.19402;6.8982;4.86626;6.57875;0.00965987;1.94665e+10;
4;16384;16384;estimate;par;24.7929;2.12504;22.6677;4.18127;7.1574;4.62777;6.70128;0.00973291;1.94665e+10;
4;16384;16384;estimate;par;24.9589;2.10079;22.858;4.22061;7.15647;4.84041;6.64056;0.00991335;1.94665e+10;
4;16384;16384;estimate;par;24.8345;2.10874;22.7257;4.23677;7.01736;4.93507;6.53646;0.00941209;1.94665e+10;
4;16384;16384;estimate;par;25.0745;2.14151;22.9329;4.20558;7.14847;4.80206;6.77676;0.00960543;1.94665e+10;
4;16384;16384;estimate;par;24.7558;2.11551;22.6402;4.17377;7.09344;4.76803;6.60493;0.00959565;1.94665e+10;
4;16384;16384;estimate;par;24.9082;2.10314;22.805;4.18283;7.09908;4.85569;6.66742;0.00967073;1.94665e+10;
4;16384;16384;estimate;par;24.8454;2.10308;22.7422;4.21637;7.00798;4.91734;6.60049;0.00950221;1.94665e+10;
4;16384;16384;estimate;par;25.1732;2.06379;23.1093;4.19574;7.28811;4.89589;6.72957;0.00963657;1.94665e+10;
4;16384;16384;estimate;par;24.9234;2.11231;22.811;4.14583;7.02748;4.92922;6.70846;0.00951269;1.94665e+10;
4;16384;16384;estimate;par;24.9113;2.0531;22.8581;4.16279;7.16484;4.78628;6.74415;0.00969683;1.94665e+10;
4;16384;16384;estimate;par;25.154;2.09771;23.0561;4.19787;7.1866;4.91564;6.75603;0.00969759;1.94665e+10;
