n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
16;16384;16384;estimate;0.0186012;5.72708;1.27229e+10;
16;16384;16384;estimate;0.0182065;5.85042;1.27229e+10;
16;16384;16384;estimate;0.0185202;5.78974;1.27229e+10;
16;16384;16384;estimate;0.0185148;5.83959;1.27229e+10;
16;16384;16384;estimate;0.0181633;5.77853;1.27229e+10;
16;16384;16384;estimate;0.0185573;5.78214;1.27229e+10;
16;16384;16384;estimate;0.0183775;5.65691;1.27229e+10;
16;16384;16384;estimate;0.0186859;5.7264;1.27229e+10;
16;16384;16384;estimate;0.0184835;5.78163;1.27229e+10;
16;16384;16384;estimate;0.0189027;5.72711;1.27229e+10;
16;16384;16384;estimate;0.018496;5.79933;1.27229e+10;
32;16384;16384;estimate;0.0241899;23.7539;1.27229e+10;
32;16384;16384;estimate;0.0244093;23.66;1.27229e+10;
32;16384;16384;estimate;0.0243566;24.5245;1.27229e+10;
32;16384;16384;estimate;0.0245963;24.0743;1.27229e+10;
32;16384;16384;estimate;0.0244343;24.7942;1.27229e+10;
32;16384;16384;estimate;0.0239497;23.3551;1.27229e+10;
32;16384;16384;estimate;0.024365;23.4303;1.27229e+10;
32;16384;16384;estimate;0.0242308;23.9188;1.27229e+10;
32;16384;16384;estimate;0.0243928;24.837;1.27229e+10;
32;16384;16384;estimate;0.024345;24.2325;1.27229e+10;
32;16384;16384;estimate;0.0241053;23.4719;1.27229e+10;
32;16384;16384;estimate;0.024083;23.3023;1.27229e+10;
32;16384;16384;estimate;0.0243759;23.1192;1.27229e+10;
32;16384;16384;estimate;0.0254811;22.5177;1.27229e+10;
32;16384;16384;estimate;0.0239595;24.5371;1.27229e+10;
32;16384;16384;estimate;0.0241696;25.0679;1.27229e+10;
32;16384;16384;estimate;0.0236404;23.1557;1.27229e+10;
32;16384;16384;estimate;0.024572;22.2855;1.27229e+10;
32;16384;16384;estimate;0.0246817;24.1254;1.27229e+10;
32;16384;16384;estimate;0.0245873;23.0685;1.27229e+10;
32;16384;16384;estimate;0.0243336;23.5862;1.27229e+10;
32;16384;16384;estimate;0.0243645;24.6977;1.27229e+10;
32;16384;16384;estimate;0.0242502;25.2048;1.27229e+10;
32;16384;16384;estimate;0.0243392;24.9313;1.27229e+10;
32;16384;16384;estimate;0.0240337;23.1626;1.27229e+10;
32;16384;16384;estimate;0.0242032;23.6669;1.27229e+10;
32;16384;16384;estimate;0.0244665;24.4095;1.27229e+10;
32;16384;16384;estimate;0.024386;24.1161;1.27229e+10;
32;16384;16384;estimate;0.0237935;26.5214;1.27229e+10;
32;16384;16384;estimate;0.024027;25.0752;1.27229e+10;
32;16384;16384;estimate;0.0247628;22.1544;1.27229e+10;
32;16384;16384;estimate;0.0241652;24.2674;1.27229e+10;
32;16384;16384;estimate;0.0243629;23.4603;1.27229e+10;
32;16384;16384;estimate;0.0245602;24.9554;1.27229e+10;
32;16384;16384;estimate;0.0246125;22.6984;1.27229e+10;
32;16384;16384;estimate;0.0241994;23.581;1.27229e+10;
32;16384;16384;estimate;0.0242161;24.1777;1.27229e+10;
32;16384;16384;estimate;0.0241814;24.6947;1.27229e+10;
32;16384;16384;estimate;0.0247571;27.1467;1.27229e+10;
32;16384;16384;estimate;0.0241278;23.2213;1.27229e+10;
32;16384;16384;estimate;0.0243435;22.629;1.27229e+10;
32;16384;16384;estimate;0.0244159;22.4411;1.27229e+10;
32;16384;16384;estimate;0.0245351;24.111;1.27229e+10;
32;16384;16384;estimate;0.0244394;26.8386;1.27229e+10;
32;16384;16384;estimate;0.0245529;23.0279;1.27229e+10;
32;16384;16384;estimate;0.0245211;28.7682;1.27229e+10;
32;16384;16384;estimate;0.024328;26.2317;1.27229e+10;
32;16384;16384;estimate;0.0249918;22.5629;1.27229e+10;
32;16384;16384;estimate;0.0247984;24.8418;1.27229e+10;
32;16384;16384;estimate;0.0239658;23.0862;1.27229e+10;
64;16384;16384;estimate;0.0343541;69.3786;1.27229e+10;
64;16384;16384;estimate;0.0337601;69.8903;1.27229e+10;
64;16384;16384;estimate;0.0337503;65.9135;1.27229e+10;
64;16384;16384;estimate;0.034222;65.2063;1.27229e+10;
64;16384;16384;estimate;0.0372382;60.4219;1.27229e+10;
64;16384;16384;estimate;0.0340476;65.7782;1.27229e+10;
64;16384;16384;estimate;0.0343991;66.7038;1.27229e+10;
64;16384;16384;estimate;0.034309;75.1717;1.27229e+10;
64;16384;16384;estimate;0.0343758;64.4018;1.27229e+10;
64;16384;16384;estimate;0.0343196;68.6964;1.27229e+10;
64;16384;16384;estimate;0.0343541;69.3786;1.27229e+10;
64;16384;16384;estimate;0.0337601;69.8903;1.27229e+10;
64;16384;16384;estimate;0.0337503;65.9135;1.27229e+10;
64;16384;16384;estimate;0.034222;65.2063;1.27229e+10;
64;16384;16384;estimate;0.0372382;60.4219;1.27229e+10;
64;16384;16384;estimate;0.0340476;65.7782;1.27229e+10;
64;16384;16384;estimate;0.0343991;66.7038;1.27229e+10;
64;16384;16384;estimate;0.034309;75.1717;1.27229e+10;
64;16384;16384;estimate;0.0343758;64.4018;1.27229e+10;
64;16384;16384;estimate;0.0343196;68.6964;1.27229e+10;
