n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
16;16384;16384;estimate;0.0397193;5.65633;1.27229e+10;
16;16384;16384;estimate;0.0197943;5.93263;1.27229e+10;
16;16384;16384;estimate;0.0195342;5.99521;1.27229e+10;
16;16384;16384;estimate;0.0399062;5.75558;1.27229e+10;
16;16384;16384;estimate;0.0395683;6.10254;1.27229e+10;
16;16384;16384;estimate;0.0199175;6.0371;1.27229e+10;
16;16384;16384;estimate;0.0396677;5.80595;1.27229e+10;
16;16384;16384;estimate;0.0401362;6.05879;1.27229e+10;
16;16384;16384;estimate;0.0192635;6.0712;1.27229e+10;
16;16384;16384;estimate;0.0436042;5.5947;1.27229e+10;
16;16384;16384;estimate;0.0395406;5.87174;1.27229e+10;
32;16384;16384;estimate;0.0253614;41.3418;1.27229e+10;
32;16384;16384;estimate;0.0455138;40.6272;1.27229e+10;
32;16384;16384;estimate;0.0256363;40.8367;1.27229e+10;
32;16384;16384;estimate;0.0259664;42.4465;1.27229e+10;
32;16384;16384;estimate;0.0254727;41.0777;1.27229e+10;
32;16384;16384;estimate;0.0454619;40.6191;1.27229e+10;
32;16384;16384;estimate;0.0261636;39.8831;1.27229e+10;
32;16384;16384;estimate;0.0253887;42.5136;1.27229e+10;
32;16384;16384;estimate;0.0256444;41.8215;1.27229e+10;
32;16384;16384;estimate;0.0258155;42.128;1.27229e+10;
32;16384;16384;estimate;0.0663506;40.3658;1.27229e+10;
32;16384;16384;estimate;0.0460588;41.6277;1.27229e+10;
32;16384;16384;estimate;0.0465589;41.7749;1.27229e+10;
32;16384;16384;estimate;0.0470752;40.4161;1.27229e+10;
32;16384;16384;estimate;0.0386856;41.3212;1.27229e+10;
32;16384;16384;estimate;0.0463126;40.4359;1.27229e+10;
32;16384;16384;estimate;0.0661536;41.0737;1.27229e+10;
32;16384;16384;estimate;0.0258895;41.3;1.27229e+10;
32;16384;16384;estimate;0.0260872;41.0922;1.27229e+10;
32;16384;16384;estimate;0.0310854;39.1928;1.27229e+10;
32;16384;16384;estimate;0.02545;42.5057;1.27229e+10;
32;16384;16384;estimate;0.0555124;41.961;1.27229e+10;
32;16384;16384;estimate;0.0254886;41.183;1.27229e+10;
32;16384;16384;estimate;0.0461649;41.992;1.27229e+10;
32;16384;16384;estimate;0.0458421;39.2644;1.27229e+10;
32;16384;16384;estimate;0.0659549;39.8044;1.27229e+10;
32;16384;16384;estimate;0.0257475;42.8259;1.27229e+10;
32;16384;16384;estimate;0.0254003;42.0415;1.27229e+10;
32;16384;16384;estimate;0.0262911;41.6363;1.27229e+10;
32;16384;16384;estimate;0.0258649;39.3511;1.27229e+10;
32;16384;16384;estimate;0.0252499;41.9774;1.27229e+10;
32;16384;16384;estimate;0.0459994;39.5705;1.27229e+10;
32;16384;16384;estimate;0.0257266;40.6057;1.27229e+10;
32;16384;16384;estimate;0.0453209;41.5784;1.27229e+10;
32;16384;16384;estimate;0.0619815;41.4172;1.27229e+10;
32;16384;16384;estimate;0.0261046;40.2076;1.27229e+10;
32;16384;16384;estimate;0.0254887;40.9653;1.27229e+10;
32;16384;16384;estimate;0.0458727;42.5085;1.27229e+10;
32;16384;16384;estimate;0.0460359;39.615;1.27229e+10;
32;16384;16384;estimate;0.0252727;41.4888;1.27229e+10;
32;16384;16384;estimate;0.0458449;41.302;1.27229e+10;
32;16384;16384;estimate;0.0457264;41.6969;1.27229e+10;
32;16384;16384;estimate;0.0255779;41.3472;1.27229e+10;
32;16384;16384;estimate;0.0466484;41.3728;1.27229e+10;
32;16384;16384;estimate;0.0254735;41.6672;1.27229e+10;
32;16384;16384;estimate;0.0254803;41.1154;1.27229e+10;
32;16384;16384;estimate;0.0531487;40.7725;1.27229e+10;
32;16384;16384;estimate;0.0458409;41.2339;1.27229e+10;
