n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
4;16384;16384;estimate;2.3167;0.420201;1.8965;0.657576;0.380085;0.464696;0.39414;
4;16384;16384;estimate;2.31355;0.419772;1.89377;0.657303;0.376425;0.461662;0.398385;
4;16384;16384;estimate;2.3223;0.421664;1.90064;0.659207;0.373509;0.464641;0.403279;
4;16384;16384;estimate;2.396;0.419265;1.97672;0.65952;0.381456;0.464843;0.470905;
4;16384;16384;estimate;2.31398;0.419832;1.89413;0.655356;0.375788;0.463214;0.399777;
4;16384;16384;estimate;2.32687;0.419722;1.90714;0.669156;0.378699;0.463558;0.395727;
4;16384;16384;estimate;2.37556;0.421902;1.95366;0.658213;0.379779;0.465527;0.450138;
4;16384;16384;estimate;2.32642;0.420613;1.90579;0.655067;0.380271;0.463869;0.406587;
4;16384;16384;estimate;2.31982;0.418919;1.90089;0.66236;0.37891;0.462739;0.396886;
8;16384;16384;estimate;1.52926;0.421714;1.10754;0.355859;0.240219;0.233187;0.278278;
8;16384;16384;estimate;1.50752;0.422684;1.08482;0.352483;0.239811;0.2331;0.259431;
8;16384;16384;estimate;1.50708;0.424795;1.08228;0.35281;0.23585;0.232743;0.260878;
8;16384;16384;estimate;1.54485;0.420348;1.12449;0.352707;0.235737;0.232572;0.303477;
8;16384;16384;estimate;1.51412;0.421634;1.09248;0.353992;0.239462;0.233697;0.265326;
8;16384;16384;estimate;1.50994;0.419307;1.09063;0.356259;0.238723;0.232369;0.263275;
8;16384;16384;estimate;1.56296;0.4218;1.14115;0.354302;0.235449;0.231008;0.320393;
8;16384;16384;estimate;1.49725;0.417797;1.07945;0.352893;0.237092;0.230705;0.25876;
8;16384;16384;estimate;1.55085;0.421374;1.12947;0.352882;0.235733;0.232476;0.308379;
8;16384;16384;estimate;1.53059;0.420207;1.11037;0.353692;0.234829;0.230894;0.290956;
8;16384;16384;estimate;1.50295;0.419452;1.08349;0.354239;0.234596;0.234501;0.260154;
8;16384;16384;estimate;1.52137;0.419948;1.10141;0.354247;0.234918;0.231735;0.280514;
8;16384;16384;estimate;1.53606;0.423294;1.11276;0.354239;0.247883;0.231905;0.27873;
8;16384;16384;estimate;1.50513;0.419429;1.08569;0.354529;0.239747;0.232484;0.258931;
8;16384;16384;estimate;1.5379;0.421997;1.1159;0.354571;0.248653;0.231262;0.281412;
